id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm74573,My Dog the Thief,MOVIE,1969,,88,['comedy'],['US'],,,,,3.208,6.1
tm110618,Bearly Asleep,MOVIE,1955,,7,['animation'],['US'],,,,,3.824,6.5
tm60664,Let's Stick Together,MOVIE,1952,,7,['animation'],['US'],,,,,6.866,6.4
tm137469,Nature's Half Acre,MOVIE,1951,,33,['documentation'],['US'],,,,,1.103,6.6
tm94576,Sultan And The Rock Star,MOVIE,1980,,47,['drama'],[],,,,,1.516,
tm129658,Corn Chips,MOVIE,1951,,7,['animation'],['US'],,,,,2.5,7.1
tm19229,Grand Canyonscope,MOVIE,1954,,7,['animation'],['US'],,,,,4.373,6.3
tm757109,The Mouseketeers at Walt Disney World,MOVIE,1977,,56,['family'],[],,tt0285749,8.2,36,0.894,6
tm55594,The Olympic Elk,MOVIE,1952,,27,['documentation'],[],,,,,1.45,8.1
tm106320,Man in Space,MOVIE,1955,,51,['scifi'],['US'],,,,,1.76,6.3
tm847798,Disneyland Around the Seasons,MOVIE,1966,G,51,['documentation'],['US'],,,,,1.66,5.7
tm19438,The Princess Bride,MOVIE,1987,PG,99,"['fantasy', 'family', 'romance']",['US'],,tt0093779,8,420521,21.284,7.7
ts20711,The Simpsons,SHOW,1989,TV-14,27,"['animation', 'comedy']",['US'],34,tt0096697,8.7,394764,516.381,7.9
tm147893,Edward Scissorhands,MOVIE,1990,PG-13,105,"['fantasy', 'drama', 'romance']",['US'],,tt0099487,7.9,477505,65.356,7.7
tm49092,Who Framed Roger Rabbit,MOVIE,1988,PG,104,"['fantasy', 'animation', 'comedy', 'crime', 'family']",['US'],,tt0096438,7.7,196510,24.065,7.5
tm47587,Willow,MOVIE,1988,PG,126,"['fantasy', 'romance', 'action', 'drama']",['US'],,tt0096446,7.2,110680,14.83,7
